arm_role,arm_id,n_pairs,n_means,pair_index,LTE.ID,Code,Site.Key,Site.ID,Country,Latitude,Longitude,M.Year,m_year_first,m_year_last,m_year_is_aggregate,Product.Simple,EU,Out.SubInd,Outcode,Units,yield_basis,Mean.Error.Type,Upper,Lower,DataLoc,Analysis.Function,Duration,Variety,Rep,Plot.Size,Plant.Start,Plant.End,Harvest.Start,Harvest.End,planting_date_source,harvest_date_source,climate_date_source,climate_window_start,climate_window_end,is_livestock,gdd_gdd_subopt,gdd_gdd_opt,gdd_gdd_aboveopt,gdd_gdd_abovemax,gdd_Harvest.Start,gdd_Harvest.End,temp_tmax_tg_35.days,temp_tmax_tg_35.days_pr,temp_tmax_tg_35.max_rseq,temp_tmax_tg_35.n_seq_d5,temp_tmax_tg_35.n_seq_d10,temp_tmax_tg_35.n_seq_d15,temp_tmax_tg_37.5.days,temp_tmax_tg_37.5.days_pr,temp_tmax_tg_37.5.max_rseq,temp_tmax_tg_37.5.n_seq_d5,temp_tmax_tg_37.5.n_seq_d10,temp_tmax_tg_37.5.n_seq_d15,temp_tmax_tg_40.days,temp_tmax_tg_40.days_pr,temp_tmax_tg_40.max_rseq,temp_tmax_tg_40.n_seq_d5,temp_tmax_tg_40.n_seq_d10,temp_tmax_tg_40.n_seq_d15,temp_tmin_min,temp_tmin_mean,temp_tmin_var,temp_tmin_sd,temp_tmin_range,temp_tmax_max,temp_tmax_mean,temp_tmax_var,temp_tmax_sd,temp_tmax_range,temp_tmean_max,temp_tmean_min,temp_tmean_mean,temp_tmean_var,temp_tmean_sd,temp_tmean_range,temp_Harvest.Start,temp_Harvest.End,rain_rain_sum,rain_eto_sum,rain_eto_na,rain_w_balance,rain_w_balance_negdays,rain_rain_l_0.1.days,rain_rain_l_0.1.days_pr,rain_rain_l_0.1.max_seq,rain_rain_l_0.1.n_seq_d5,rain_rain_l_0.1.n_seq_d10,rain_rain_l_0.1.n_seq_d15,rain_rain_l_1.days,rain_rain_l_1.days_pr,rain_rain_l_1.max_seq,rain_rain_l_1.n_seq_d5,rain_rain_l_1.n_seq_d10,rain_rain_l_1.n_seq_d15,rain_rain_l_5.days,rain_rain_l_5.days_pr,rain_rain_l_5.max_seq,rain_rain_l_5.n_seq_d5,rain_rain_l_5.n_seq_d10,rain_rain_l_5.n_seq_d15,rain_Harvest.Start,rain_Harvest.End,eratio_eratio_mean,eratio_eratio_median,eratio_eratio_min,eratio_eratio_l_0.5.days,eratio_eratio_l_0.5.days_pr,eratio_eratio_l_0.5.max_seq,eratio_eratio_l_0.5.n_seq_d5,eratio_eratio_l_0.5.n_seq_d10,eratio_eratio_l_0.5.n_seq_d15,eratio_eratio_l_0.25.days,eratio_eratio_l_0.25.days_pr,eratio_eratio_l_0.25.max_seq,eratio_eratio_l_0.25.n_seq_d5,eratio_eratio_l_0.25.n_seq_d10,eratio_eratio_l_0.25.n_seq_d15,eratio_eratio_l_0.1.days,eratio_eratio_l_0.1.days_pr,eratio_eratio_l_0.1.max_seq,eratio_eratio_l_0.1.n_seq_d5,eratio_eratio_l_0.1.n_seq_d10,eratio_eratio_l_0.1.n_seq_d15,eratio_Harvest.Start,eratio_Harvest.End,logging_logging_sum,logging_logging_mean,logging_logging_median,logging_logging_present_mean,logging_logging_g_0.days,logging_logging_g_0.days_pr,logging_logging_g_0.max_seq,logging_logging_g_0.n_seq_d5,logging_logging_g_0.n_seq_d10,logging_logging_g_0.n_seq_d15,logging_logging_g_ssat_0.5.days,logging_logging_g_ssat_0.5.days_pr,logging_logging_g_ssat_0.5.max_seq,logging_logging_g_ssat_0.5.n_seq_d5,logging_logging_g_ssat_0.5.n_seq_d10,logging_logging_g_ssat_0.5.n_seq_d15,logging_logging_g_ssat_0.9.days,logging_logging_g_ssat_0.9.days_pr,logging_logging_g_ssat_0.9.max_seq,logging_logging_g_ssat_0.9.n_seq_d5,logging_logging_g_ssat_0.9.n_seq_d10,logging_logging_g_ssat_0.9.n_seq_d15,logging_Harvest.Start,logging_Harvest.End,arm_code,arm_label,mean,mean_error,yield_t_ha
T,-31.5861 18.3752 B1000|1995|Grape|e11|T8|NA|NA,1,1,200466,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1995,1995,1995,FALSE,Grape,e11,Biomass Yield,101.1,Mg/ha,,,,,Tab 1,Simple,1.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,GRAPE-INT>>GRAPE-INT***L-BB4,2.91,,
C,-31.5861 18.3752 B1000|1996|Grape|e11|T1|NA|NA,7,1,200481,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Crop Yield,101,Mg/ha,as reported,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,CONTROL,11.33,,11.33
C,-31.5861 18.3752 B1000|1996|Grape|e11|T1|NA|NA,7,1,200474,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Biomass Yield,101.1,Mg/ha,,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,CONTROL,3.39,,
T,-31.5861 18.3752 B1000|1996|Grape|e11|T2|NA|NA,1,1,200481,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Crop Yield,101,Mg/ha,as reported,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,GRAPE-INT>>C-BB1***GRAPE-INT,12.51,,12.51
T,-31.5861 18.3752 B1000|1996|Grape|e11|T2|NA|NA,1,1,200474,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Biomass Yield,101.1,Mg/ha,,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,GRAPE-INT>>C-BB1***GRAPE-INT,3.29,,
T,-31.5861 18.3752 B1000|1996|Grape|e11|T3|NA|NA,1,1,200482,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Crop Yield,101,Mg/ha,as reported,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,GRAPE-INT>>C-BB2***GRAPE-INT,11.26,,11.26
T,-31.5861 18.3752 B1000|1996|Grape|e11|T3|NA|NA,1,1,200475,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Biomass Yield,101.1,Mg/ha,,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,GRAPE-INT>>C-BB2***GRAPE-INT,3.51,,
T,-31.5861 18.3752 B1000|1996|Grape|e11|T4|NA|NA,1,1,200483,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Crop Yield,101,Mg/ha,as reported,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,GRAPE-INT>>C-BB3***GRAPE-INT,12.31,,12.31
T,-31.5861 18.3752 B1000|1996|Grape|e11|T4|NA|NA,1,1,200476,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Biomass Yield,101.1,Mg/ha,,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,GRAPE-INT>>C-BB3***GRAPE-INT,4.01,,
T,-31.5861 18.3752 B1000|1996|Grape|e11|T5|NA|NA,1,1,200484,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Crop Yield,101,Mg/ha,as reported,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T5,GRAPE-INT>>GRAPE-INT***L-BB1,13.09,,13.09
T,-31.5861 18.3752 B1000|1996|Grape|e11|T5|NA|NA,1,1,200477,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Biomass Yield,101.1,Mg/ha,,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T5,GRAPE-INT>>GRAPE-INT***L-BB1,3.3,,
T,-31.5861 18.3752 B1000|1996|Grape|e11|T6|NA|NA,1,1,200485,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Crop Yield,101,Mg/ha,as reported,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,GRAPE-INT>>GRAPE-INT***L-BB2,11.86,,11.86
T,-31.5861 18.3752 B1000|1996|Grape|e11|T6|NA|NA,1,1,200478,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Biomass Yield,101.1,Mg/ha,,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,GRAPE-INT>>GRAPE-INT***L-BB2,3.39,,
T,-31.5861 18.3752 B1000|1996|Grape|e11|T7|NA|NA,1,1,200486,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Crop Yield,101,Mg/ha,as reported,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T7,GRAPE-INT>>GRAPE-INT***L-BB3,14.73,,14.73
T,-31.5861 18.3752 B1000|1996|Grape|e11|T7|NA|NA,1,1,200479,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Biomass Yield,101.1,Mg/ha,,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T7,GRAPE-INT>>GRAPE-INT***L-BB3,4.71,,
T,-31.5861 18.3752 B1000|1996|Grape|e11|T8|NA|NA,1,1,200487,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Crop Yield,101,Mg/ha,as reported,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,GRAPE-INT>>GRAPE-INT***L-BB4,15.37,,15.37
T,-31.5861 18.3752 B1000|1996|Grape|e11|T8|NA|NA,1,1,200480,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1996,1996,1996,FALSE,Grape,e11,Biomass Yield,101.1,Mg/ha,,,,,Tab 1,Simple,2.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T8,GRAPE-INT>>GRAPE-INT***L-BB4,4.65,,
T,-31.5861 18.3752 B1000|1998|Black oats-Grape|c20.e11|T3|0|15,1,1,224353,LTE0106,NN0184.3,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Black oats-Grape,c20.e11,Soil Organic Matter,223,%,,,0,15,Tab 1,Sys.Int.vs.Mono,4.5,,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,C-BB3***GRAPE-INT,0.26,,
T,-31.5861 18.3752 B1000|1998|Black oats-Grape|c20.e11|T3|15|30,1,1,224360,LTE0106,NN0184.3,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Black oats-Grape,c20.e11,Soil Organic Matter,223,%,,,15,30,Tab 1,Sys.Int.vs.Mono,4.5,,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,C-BB3***GRAPE-INT,0.17,,
C,-31.5861 18.3752 B1000|1998|Black oats-Grape|c20.e11|T4|0|15,1,1,224353,LTE0106,NN0184.3,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Black oats-Grape,c20.e11,Soil Organic Matter,223,%,,,0,15,Tab 1,Sys.Int.vs.Mono,4.5,,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,CONTROL,0.24,,
C,-31.5861 18.3752 B1000|1998|Black oats-Grape|c20.e11|T4|15|30,1,1,224360,LTE0106,NN0184.3,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Black oats-Grape,c20.e11,Soil Organic Matter,223,%,,,15,30,Tab 1,Sys.Int.vs.Mono,4.5,,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,CONTROL,0.19,,
T,-31.5861 18.3752 B1000|1998|Grape-Oats|c9.e11|T2|0|15,1,1,224352,LTE0106,NN0184.3,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Grape-Oats,c9.e11,Soil Organic Matter,223,%,,,0,15,Tab 1,Sys.Int.vs.Mono,4.5,,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,C-BB2***GRAPE-INT,0.26,,
T,-31.5861 18.3752 B1000|1998|Grape-Oats|c9.e11|T2|15|30,1,1,224359,LTE0106,NN0184.3,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Grape-Oats,c9.e11,Soil Organic Matter,223,%,,,15,30,Tab 1,Sys.Int.vs.Mono,4.5,,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,C-BB2***GRAPE-INT,0.24,,
C,-31.5861 18.3752 B1000|1998|Grape-Oats|c9.e11|T4|0|15,1,1,224352,LTE0106,NN0184.3,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Grape-Oats,c9.e11,Soil Organic Matter,223,%,,,0,15,Tab 1,Sys.Int.vs.Mono,4.5,,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,CONTROL,0.24,,
C,-31.5861 18.3752 B1000|1998|Grape-Oats|c9.e11|T4|15|30,1,1,224359,LTE0106,NN0184.3,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Grape-Oats,c9.e11,Soil Organic Matter,223,%,,,15,30,Tab 1,Sys.Int.vs.Mono,4.5,,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,CONTROL,0.19,,
T,-31.5861 18.3752 B1000|1998|Grape-Rye|c12.e11|T1|0|15,1,1,224351,LTE0106,NN0184.3,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Grape-Rye,c12.e11,Soil Organic Matter,223,%,,,0,15,Tab 1,Sys.Int.vs.Mono,4.5,,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,C-BB1***GRAPE-INT,0.36,,
T,-31.5861 18.3752 B1000|1998|Grape-Rye|c12.e11|T1|15|30,1,1,224358,LTE0106,NN0184.3,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Grape-Rye,c12.e11,Soil Organic Matter,223,%,,,15,30,Tab 1,Sys.Int.vs.Mono,4.5,,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,C-BB1***GRAPE-INT,0.26,,
C,-31.5861 18.3752 B1000|1998|Grape-Rye|c12.e11|T4|0|15,1,1,224351,LTE0106,NN0184.3,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Grape-Rye,c12.e11,Soil Organic Matter,223,%,,,0,15,Tab 1,Sys.Int.vs.Mono,4.5,,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,CONTROL,0.24,,
C,-31.5861 18.3752 B1000|1998|Grape-Rye|c12.e11|T4|15|30,1,1,224358,LTE0106,NN0184.3,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Grape-Rye,c12.e11,Soil Organic Matter,223,%,,,15,30,Tab 1,Sys.Int.vs.Mono,4.5,,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,CONTROL,0.19,,
C,-31.5861 18.3752 B1000|1998|Grape|e11|T1|NA|NA,7,1,200495,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Grape,e11,Crop Yield,101,Mg/ha,as reported,,,,Tab 1,Simple,4.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,CONTROL,9.07,,9.07
C,-31.5861 18.3752 B1000|1998|Grape|e11|T1|NA|NA,7,1,200488,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Grape,e11,Biomass Yield,101.1,Mg/ha,,,,,Tab 1,Simple,4.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,CONTROL,2.91,,
T,-31.5861 18.3752 B1000|1998|Grape|e11|T2|NA|NA,1,1,200495,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Grape,e11,Crop Yield,101,Mg/ha,as reported,,,,Tab 1,Simple,4.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,GRAPE-INT>>C-BB1***GRAPE-INT,11.32,,11.32
T,-31.5861 18.3752 B1000|1998|Grape|e11|T2|NA|NA,1,1,200488,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Grape,e11,Biomass Yield,101.1,Mg/ha,,,,,Tab 1,Simple,4.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,GRAPE-INT>>C-BB1***GRAPE-INT,3.02,,
T,-31.5861 18.3752 B1000|1998|Grape|e11|T3|NA|NA,1,1,200496,LTE0106,NN0184.1,-31.5861 18.3752 B1000,"Nietvoorbij Research Farm, Lutzville",South Africa,-31.5861,18.3752,1998,1998,1998,FALSE,Grape,e11,Crop Yield,101,Mg/ha,as reported,,,,Tab 1,Simple,4.5,Sauvignon blanc/Ramsey,1,108,,,,,none,none,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,GRAPE-INT>>C-BB2***GRAPE-INT,11.74,,11.74
